# Frequency (Hz)	Real Part (Ohm/m)
1000.0	7204773.017661678
1018.6101701559753	7205154.2922907565
1037.566678745186	7205542.662505558
1056.875971184804	7205938.26035614
1076.544612842316	7206341.220350036
1096.5792912678098	7206751.679497985
1116.9868184678226	7207169.777360515
1137.7741332214914	7207595.656095413
1158.9483034398106	7208029.46050603
1180.5165285688056	7208471.338090548
1202.4861420374123	7208921.439092097
1224.8646137509306	7209379.916549876
1247.6595526308697	7209846.926351154
1270.8787092020582	7209373.568636194
1294.529978227916	7207980.277589571
1318.6214013947485	7206561.057159498
1343.1611700460153	7205115.424795732
1368.1576279674719	7203642.888967697
1393.6192742241421	7202142.948997334
1419.5547660501015	7200615.094888905
1445.9729217920196	7199058.807155542
1472.8827239075017	7197473.556642651
1500.2933220192183	7195858.804347974
1528.2140360258693	7194214.001238328
1556.654359271062	7192538.58806295
1585.6239617711371	7190800.090453452
1615.1326935030913	7187773.418068619
1645.1905877536624	7184690.418795703
1675.8078645307671	7181550.044381723
1706.994934038408	7178351.227065548
1738.7624002162504	7175092.879214819
1771.1210643450886	7171773.892956161
1804.0819287193829	7168393.139798482
1837.6562003881704	7164949.470249285
1871.8552949655793	7161441.713423817
1906.690840512252	7157868.676646964
1942.1746814890264	7154229.145047718
1978.3188827841643	7150521.88114612
2015.1357338155585	7146349.957597019
2052.6377527092523	7141756.783500485
2090.83769055575	7137078.129652456
2129.748535745521	7132312.405260214
2169.3835183851843	7127457.989926118
2209.756114795903	7122513.233096645
2250.880052095462	7117476.453501194
2292.7693128656488	7112345.938580436
2335.438139906479	7107119.943904014
2378.9010410788933	7101796.69257743
2423.1727942376006	7096374.374637875
2468.2684522556924	7090851.146438823
2514.2033481427966	7085214.209236527
2560.9931002584594	7079262.948343103
2608.6536176225477	7073200.93347181
2657.201105324507	7067026.103472271
2706.652070033241	7060736.3588357605
2757.0233256095826	7054329.5609813295
2808.3319988231724	7047803.531528667
2860.595535175742	7041156.051557451
2913.8317048327885	7034384.860852861
2968.058608665602	7027487.657137099
3023.2946844057765	7020462.095286589
3079.5587129142264	7013305.786534595
3136.8698245668766	7006016.297659041
3195.2475057592137	6998740.103809557
3254.711605531848	6991445.424439469
3315.282342319423	6984014.989845075
3376.9803108250912	6976446.273598546
3439.8264890229248	6968736.702254807
3503.8422452906757	6960883.654476527
3569.0493456752297	6952884.460142859
3635.4699612933177	6944736.399441525
3703.126675869927	6936436.701944095
3772.0424934169973	6927982.545664
3842.240846055061	6919371.056097004
3913.745601980384	6910599.305243872
3986.581073580439	6901717.693358496
4060.7720257003652	6893335.287028865
4136.343684063274	6884796.8826911235
4213.321743847289	6876099.577195792
4291.732378422157	6867240.413365304
4371.602248248502	6858216.378988481
4452.958509942656	6849024.405796417
4535.828825510186	6839661.368419175
4620.241371751313	6830124.0833231695
4706.224849841282	6820409.3077286985
4793.808495089107	6810513.73850739
4883.02208687788	6800434.011059081
4973.895958790063	6790166.698167836
5066.461008921268	6780372.580073858
5160.7487103859075	6770866.913811678
5256.791122018419	6761184.345482911
5354.620899273607	6751321.582910001
5454.271305329837	6741275.272647396
5555.7762223988775	6731041.99884137
5659.170163246243	6720618.282068557
5764.488282925873	6710000.578152949
5871.766390733255	6699185.276960796
5981.040962380944	6688168.70117318
6092.349152400711	6676947.105035615
6205.7288067765	6665516.67308451
6321.218475812449	6654023.927854438
6438.857427240419	6643683.534631193
6558.685659571435	6633150.704930587
6680.743915695614	6622421.857477026
6805.073696735207	6611493.344346778
6931.7172761554075	6600361.44972762
7060.717714137772	6589022.388655449
7192.118872221193	6577472.305727312
7325.9654282152305	6565707.273790565
7462.302891391108	6553723.292607588
7601.17761795533	6541516.287495646
7742.63682681127	6529082.1079414785
7886.728615614156	6516416.526190061
8033.501977124734	6504651.5684925495
8183.006815867389	6493393.223656641
8335.293965098195	6481925.359107663
8490.415204088747	6470244.075648107
8648.423275731726	6458345.401515724
8809.37190447399	6446225.291033111
8973.31581458352	6433879.623232101
9140.310748756232	6421304.200452632
9310.413487069076	6408494.746915448
9483.681866285928	6395446.907268334
9660.174799522645	6382156.245105219
9839.952296278227	6368618.241457768
10023.075482838643	6355097.308986307
10209.606623060476	6343225.321671824
10399.609139541202	6331132.394653327
10593.147635183701	6318814.416205334
10790.287915161836	6306267.198082442
10991.097009294961	6293486.474095305
11195.643194838794	6280467.898660049
11403.996019700331	6267207.045320756
11616.226326085018	6253699.405244401
11832.40627458378	6239940.3856878225
12052.609368708414	6225925.308436117
12276.910479883603	6211649.408212005
12505.385872903913	6197107.831055595
12738.113231864785	6183845.257787906
12975.171686575868	6171225.18285789
13216.641839466038	6158370.246186042
13462.60579298911	6145276.076955384
13713.147177539457	6131938.223007294
13968.351179887397	6118352.149327717
14228.30457214352	6104513.23650521
14493.095741262152	6090416.779160304
14762.81471909391	6076057.9843456065
15037.553212997384	6061431.96991618
15317.404637020798	6046533.762869516
15602.46414366368	6031358.297654694
15892.828656229764	6016297.848305549
16188.596901781992	6003230.127265461
16489.86944471065	5989919.213713267
16796.74872092653	5976360.5817949325
17109.339072690134	5962549.621429513
17427.746784089173	5948481.636741683
