# Frequency (Hz)	Real Part (Ohm/m)
1000.0	25320533.75858713
1018.6101701559753	25331383.073905587
1037.566678745186	25342434.2968282
1056.875971184804	25353691.184889816
1076.5446128423157	25365157.5655537
1096.5792912678098	25376837.33751281
1116.9868184678226	25388734.47201546
1137.7741332214914	25400853.014215566
1158.9483034398106	25413197.08454807
1180.5165285688054	25425770.88012987
1202.4861420374123	25438578.676186964
1224.8646137509306	25451624.827508003
1247.6595526308697	25464913.769925002
1270.8787092020582	25472144.971020788
1294.529978227916	25473457.712795395
1318.6214013947485	25474794.884917796
1343.1611700460153	25476156.942040917
1368.1576279674719	25477544.347278856
1393.619274224142	25478957.57236437
1419.5547660501015	25480397.097809173
1445.9729217920194	25481863.41306746
1472.882723907502	25483357.016702212
1500.2933220192183	25484878.416554734
1528.2140360258693	25486428.129917387
1556.654359271062	25488006.68370943
1585.6239617711371	25489379.232784845
1615.132693503091	25481512.313649245
1645.1905877536624	25473498.989809927
1675.807864530767	25465336.536650445
1706.9949340384078	25457022.17884877
1738.7624002162504	25448553.089433666
1771.1210643450886	25439926.38882348
1804.0819287193826	25431139.143847067
1837.6562003881704	25422188.366746433
1871.8552949655793	25413071.01416092
1906.690840512252	25403783.98609244
1942.1746814890264	25394324.124851346
1978.3188827841643	25384688.213982914
2015.1357338155585	25371354.232391175
2052.6377527092523	25354716.30723689
2090.8376905557498	25337768.74746445
2129.748535745521	25320505.790720902
2169.3835183851843	25302921.56741497
2209.756114795903	25285010.098721277
2250.880052095462	25266765.29454743
2292.7693128656488	25248180.951463446
2335.438139906479	25229250.750592425
2378.9010410788933	25209968.255462117
2423.1727942376006	25190326.909816407
2468.2684522556924	25170320.035386126
2514.2033481427966	25149760.36167712
2560.9931002584594	25125357.377266444
2608.6536176225477	25100500.24916355
2657.2011053245064	25075180.52567709
2706.652070033241	25049389.597828228
2757.0233256095826	25023118.696423624
2808.3319988231724	24996358.889073726
2860.5955351757416	24969101.077155713
2913.831704832789	24941335.992719814
2968.0586086656026	24913054.195338186
3023.2946844057765	24884246.06889497
3079.5587129142264	24854901.818316754
3136.8698245668766	24825011.466242187
3195.2475057592133	24794136.15698208
3254.711605531848	24762349.737678006
3315.282342319423	24729971.76770203
3376.9803108250912	24696991.238195494
3439.8264890229243	24663396.93542301
3503.8422452906757	24629177.436959665
3569.0493456752292	24594321.10780725
3635.4699612933177	24558816.096438304
3703.126675869927	24522650.3307664
3772.0424934169973	24485811.51404152
3842.240846055061	24448287.120669026
3913.745601980384	24410064.39195089
3986.581073580439	24371277.969838593
4060.7720257003657	24333607.484586243
4136.343684063274	24295235.945193477
4213.321743847289	24256150.304923475
4291.732378422157	24216337.274237387
4371.602248248501	24175783.3162758
4452.958509942655	24134474.64225605
4535.828825510186	24092397.20678388
4620.241371751313	24049536.703077838
4706.224849841281	24005878.558104865
4793.808495089106	23961407.927625254
4883.02208687788	23916109.691145457
4973.895958790063	23869968.446777027
5066.461008921268	23825627.71467477
5160.7487103859075	23782346.187082015
5256.791122018419	23738259.182896137
5354.620899273607	23693351.7120607
5454.271305329836	23647608.50555172
5555.7762223988775	23601014.010186154
5659.170163246242	23553552.3833335
5764.488282925873	23505207.487529233
5871.766390733255	23455962.884987857
5981.040962380945	23405801.83201395
6092.349152400711	23354707.27330898
6205.7288067765	23302661.83617248
6321.218475812449	23250327.02027929
6438.8574272404185	23203187.690367825
6558.685659571435	23155171.089505665
6680.743915695614	23106260.891531143
6805.073696735206	23056440.46644997
6931.717276155407	23005692.874780785
7060.717714137772	22954000.861795627
7192.118872221193	22901346.851653114
7325.96542821523	22847712.94142245
7462.302891391108	22793080.894996278
7601.17761795533	22737432.13689013
7742.636826811269	22680747.74592666
7886.728615614156	22623008.448802166
8033.501977124735	22569597.354199614
8183.00681586739	22518641.978465743
8335.293965098195	22466738.314519126
8490.415204088747	22413868.714554727
8648.423275731726	22360015.20233891
8809.37190447399	22305159.46709727
8973.31581458352	22249282.85728874
9140.310748756232	22192366.374263942
9310.413487069076	22134390.665805373
9483.681866285926	22075336.019547474
9660.174799522645	22015182.356274214
9839.952296278227	21953909.22309194
10023.075482838643	21892800.87467879
10209.606623060476	21839775.62072829
