# Frequency (Hz)	Imaginary Part (Ohm/m)
1000.0	26006955.802266356
1018.6101701559753	25926967.009407833
1037.566678745186	25845489.611503676
1056.875971184804	25762495.905360635
1076.544612842316	25677957.672224406
1096.5792912678098	25591846.16818482
1116.9868184678226	25504132.11440267
1137.7741332214914	25414785.687154565
1158.9483034398106	25323776.507692557
1180.5165285688056	25231073.631914984
1202.4861420374123	25136645.539845258
1224.8646137509306	25040460.124914598
1247.6595526308697	24942484.683045562
1270.8787092020582	24853405.31945487
1294.529978227916	24772959.128520396
1318.6214013947485	24691015.820284218
1343.1611700460153	24607547.53313863
1368.1576279674719	24522525.886966616
1393.6192742241421	24435921.97349242
1419.5547660501015	24347706.346452273
1445.9729217920196	24257849.01158251
1472.8827239075017	24166319.416421056
1500.2933220192183	24073086.43991935
1528.2140360258693	23978118.38186078
1556.654359271062	23881382.95208237
1585.6239617711371	23783372.62645862
1615.1326935030913	23704217.606331035
1645.1905877536624	23623589.49781017
1675.8078645307671	23541460.886470377
1706.994934038408	23457803.847698882
1738.7624002162504	23372589.93720111
1771.1210643450886	23285790.181329302
1804.0819287193829	23197375.067231234
1837.6562003881704	23107314.532815456
1871.8552949655793	23015577.95652984
1906.690840512252	22922134.14695002
1942.1746814890264	22826951.3321739
1978.3188827841643	22729997.149018876
2015.1357338155585	22642639.650756955
2052.6377527092523	22563557.441354632
2090.83769055575	22483003.498579036
2129.748535745521	22400950.433221627
2169.3835183851843	22317370.3463561
2209.756114795903	22232234.819852367
2250.880052095462	22145514.90671407
2292.7693128656488	22057181.121236358
2335.438139906479	21967203.4289804
2378.9010410788933	21875551.236561302
2423.1727942376006	21782193.381246105
2468.2684522556924	21687098.12035812
2514.2033481427966	21591289.3350574
2560.9931002584594	21513951.727558143
2608.6536176225477	21435174.854023866
2657.201105324507	21354931.929468766
2706.652070033241	21273195.670433875
2757.0233256095826	21189938.28571043
2808.3319988231724	21105131.466890547
2860.595535175742	21018746.37874203
2913.8317048327885	20930753.64940415
2968.058608665602	20841123.360400796
3023.2946844057765	20749825.036467962
3079.5587129142264	20656827.635191765
3136.8698245668766	20562099.536453765
3195.2475057592137	20477506.660494354
3254.711605531848	20400679.293503053
3315.282342319423	20322422.156139392
3376.9803108250912	20242708.640133485
3439.8264890229248	20161511.642030966
3503.8422452906757	20078803.553977616
3569.0493456752297	19994556.254332315
3635.4699612933177	19908741.098105416
3703.126675869927	19821328.9072192
